Match,Team_1,Team_2,Player_of_the_Match,Venue,City,Match_info,Score_Card
KOLKATA KNIGHT RIDERS VS MUMBAI INDIANS,KKR,MI,Varun Chakaravarthy,Eden Gardens,Kolkata,https://www.cricbuzz.com/live-cricket-full-commentary//91654/kkr-vs-mi-60th-match-indian-premier-league-2024,https://www.cricbuzz.com/live-cricket-scorecard//91654/kkr-vs-mi-60th-match-indian-premier-league-2024
CHENNAI SUPER KINGS VS RAJASTHAN ROYALS,CSK,RR,Simarjeet Singh,MA Chidambaram Stadium,Chennai,https://www.cricbuzz.com/live-cricket-full-commentary//91663/csk-vs-rr-61st-match-indian-premier-league-2024,https://www.cricbuzz.com/live-cricket-scorecard//91663/csk-vs-rr-61st-match-indian-premier-league-2024
ROYAL CHALLENGERS BENGALURU VS DELHI CAPITALS,RCB,DC,Cameron Green,M.Chinnaswamy Stadium,Bengaluru,https://www.cricbuzz.com/live-cricket-full-commentary//91668/rcb-vs-dc-62nd-match-indian-premier-league-2024,https://www.cricbuzz.com/live-cricket-scorecard//91668/rcb-vs-dc-62nd-match-indian-premier-league-2024
GUJARAT TITANS VS KOLKATA KNIGHT RIDERS,GT,KKR,Match abandoned,Narendra Modi Stadium,Ahmedabad,https://www.cricbuzz.com/live-cricket-full-commentary//91677/gt-vs-kkr-63rd-match-indian-premier-league-2024,https://www.cricbuzz.com/live-cricket-scorecard//91677/gt-vs-kkr-63rd-match-indian-premier-league-2024
DELHI CAPITALS VS LUCKNOW SUPER GIANTS,DC,LSG,Ishant Sharma,Arun Jaitley Stadium,Delhi,https://www.cricbuzz.com/live-cricket-full-commentary//91681/dc-vs-lsg-64th-match-indian-premier-league-2024,https://www.cricbuzz.com/live-cricket-scorecard//91681/dc-vs-lsg-64th-match-indian-premier-league-2024
RAJASTHAN ROYALS VS PUNJAB KINGS,RR,PK,Sam Curran,Barsapara Cricket Stadium,Guwahati,https://www.cricbuzz.com/live-cricket-full-commentary//91686/rr-vs-pbks-65th-match-indian-premier-league-2024,https://www.cricbuzz.com/live-cricket-scorecard//91686/rr-vs-pbks-65th-match-indian-premier-league-2024
SUNRISERS HYDERABAD VS GUJARAT TITANS,SH,GT,Match abandoned,Rajiv Gandhi International Stadium,Hyderabad,https://www.cricbuzz.com/live-cricket-full-commentary//91690/srh-vs-gt-66th-match-indian-premier-league-2024,https://www.cricbuzz.com/live-cricket-scorecard//91690/srh-vs-gt-66th-match-indian-premier-league-2024
MUMBAI INDIANS VS LUCKNOW SUPER GIANTS,MI,LSG,Nicholas Pooran,Wankhede Stadium,Mumbai,https://www.cricbuzz.com/live-cricket-full-commentary//91699/mi-vs-lsg-67th-match-indian-premier-league-2024,https://www.cricbuzz.com/live-cricket-scorecard//91699/mi-vs-lsg-67th-match-indian-premier-league-2024
ROYAL CHALLENGERS BENGALURU VS CHENNAI SUPER KINGS,RCB,CSK,Faf du Plessis,M.Chinnaswamy Stadium,Bengaluru,https://www.cricbuzz.com/live-cricket-full-commentary//91704/rcb-vs-csk-68th-match-indian-premier-league-2024,https://www.cricbuzz.com/live-cricket-scorecard//91704/rcb-vs-csk-68th-match-indian-premier-league-2024
SUNRISERS HYDERABAD VS PUNJAB KINGS,SH,PK,Abhishek Sharma,Rajiv Gandhi International Stadium,Hyderabad,https://www.cricbuzz.com/live-cricket-full-commentary//91713/srh-vs-pbks-69th-match-indian-premier-league-2024,https://www.cricbuzz.com/live-cricket-scorecard//91713/srh-vs-pbks-69th-match-indian-premier-league-2024
RAJASTHAN ROYALS VS KOLKATA KNIGHT RIDERS,RR,KKR,Match abandoned,Barsapara Cricket Stadium,Guwahati,https://www.cricbuzz.com/live-cricket-full-commentary//91717/rr-vs-kkr-70th-match-indian-premier-league-2024,https://www.cricbuzz.com/live-cricket-scorecard//91717/rr-vs-kkr-70th-match-indian-premier-league-2024
KOLKATA KNIGHT RIDERS VS SUNRISERS HYDERABAD,KKR,SH,Mitchell Starc,Narendra Modi Stadium,Ahmedabad,https://www.cricbuzz.com/live-cricket-full-commentary//91722/kkr-vs-srh-qualifier-1-indian-premier-league-2024,https://www.cricbuzz.com/live-cricket-scorecard//91722/kkr-vs-srh-qualifier-1-indian-premier-league-2024
RAJASTHAN ROYALS VS ROYAL CHALLENGERS BENGALURU,RR,RCB,Ravichandran Ashwin,Narendra Modi Stadium,Ahmedabad,https://www.cricbuzz.com/live-cricket-full-commentary//91731/rr-vs-rcb-eliminator-indian-premier-league-2024,https://www.cricbuzz.com/live-cricket-scorecard//91731/rr-vs-rcb-eliminator-indian-premier-league-2024
SUNRISERS HYDERABAD VS RAJASTHAN ROYALS,SH,RR,Shahbaz Ahmed,MA Chidambaram Stadium,Chennai,https://www.cricbuzz.com/live-cricket-full-commentary//91735/srh-vs-rr-qualifier-2-indian-premier-league-2024,https://www.cricbuzz.com/live-cricket-scorecard//91735/srh-vs-rr-qualifier-2-indian-premier-league-2024
KOLKATA KNIGHT RIDERS VS SUNRISERS HYDERABAD,KKR,SH,Mitchell Starc,MA Chidambaram Stadium,Chennai,https://www.cricbuzz.com/live-cricket-full-commentary//91740/kkr-vs-srh-final-indian-premier-league-2024,https://www.cricbuzz.com/live-cricket-scorecard//91740/kkr-vs-srh-final-indian-premier-league-2024
