Match_id,Team,Opposite_Team,Innings,Batsman,Dismissal Type,Fielder,Bowler,Runs,Balls,Boundaries,Sixes,StrikeRate
71,SH,KKR,1,Shahbaz Ahmed,Bowled,-,Starc,0,1,0,0,0.00
71,SH,KKR,1,Klaasen (wk),Catch,Rinku Singh,Chakaravarthy,32,21,3,1,152.38
71,SH,KKR,1,Abdul Samad,Catch,Shreyas Iyer,Harshit Rana,16,12,0,2,133.33
71,SH,KKR,1,Sanvir Singh,Bowled,-,Narine,0,1,0,0,0.00
71,SH,KKR,1,Cummins (c),Catch,Gurbaz,Russell,30,24,2,2,125.00
71,SH,KKR,1,Bhuvneshwar,lbw,-,Chakaravarthy,0,4,0,0,0.00
71,SH,KKR,1,V Viyaskanth,Not out,-,-,7,5,0,0,140.00
72,RCB,RR,1,Kohli,Catch,(sub)Donovan Ferreira,Chahal,33,24,3,1,137.50
72,RCB,RR,1,du Plessis (c),Catch,Rovman Powell,Boult,17,14,2,1,121.43
72,RCB,RR,1,Green,Catch,Rovman Powell,Ashwin,27,21,2,1,128.57
72,RCB,RR,1,Rajat Patidar,Catch,Riyan Parag,Avesh Khan,34,22,2,2,154.55
72,RCB,RR,1,Maxwell,Catch,Dhruv Jurel,Ashwin,0,1,0,0,0.00
72,RCB,RR,1,Lomror,Catch,Rovman Powell,Avesh Khan,32,17,2,2,188.24
72,RCB,RR,1,Karthik (wk),Catch,Yashasvi Jaiswal,Avesh Khan,11,13,1,0,84.62
72,RCB,RR,1,Swapnil Singh,Not out,-,-,9,4,0,1,225.00
72,RCB,RR,1,Karn Sharma,Catch,Rovman Powell,Sandeep Sharma,5,4,1,0,125.00
73,SH,RR,1,Head,Catch,Ashwin,Sandeep Sharma,34,28,3,1,121.43
73,SH,RR,1,Abhishek Sharma,Catch,Kohler-Cadmore,Boult,12,5,1,1,240.00
73,SH,RR,1,Tripathi,Catch,Chahal,Boult,37,15,5,2,246.67
73,SH,RR,1,Markram,Catch,Chahal,Boult,1,2,0,0,50.00
73,SH,RR,1,Klaasen (wk),Bowled,-,Sandeep Sharma,50,34,0,4,147.06
73,SH,RR,1,Nitish Reddy,Catch,Chahal,Avesh Khan,5,10,0,0,50.00
73,SH,RR,1,Abdul Samad,Bowled,-,Avesh Khan,0,1,0,0,0.00
73,SH,RR,1,Shahbaz Ahmed,Catch,Dhruv Jurel,Avesh Khan,18,18,0,1,100.00
73,SH,RR,1,Cummins (c),Not out,-,-,5,5,1,0,100.00
73,SH,RR,1,Jaydev Unadkat,Run out,Avesh Khan,-,5,2,1,0,250.00
74,SH,KKR,1,Abhishek Sharma,Bowled,-,Starc,2,5,0,0,40.00
74,SH,KKR,1,Head,Catch,Gurbaz,Vaibhav Arora,0,1,0,0,0.00
74,SH,KKR,1,Tripathi,Catch,Ramandeep Singh,Starc,9,13,1,0,69.23
74,SH,KKR,1,Markram,Catch,Starc,Russell,20,23,3,0,86.96
74,SH,KKR,1,Nitish Reddy,Catch,Gurbaz,Harshit Rana,13,10,1,1,130.00
74,SH,KKR,1,Klaasen (wk),Bowled,-,Harshit Rana,16,17,1,0,94.12
74,SH,KKR,1,Shahbaz Ahmed,Catch,Narine,Chakaravarthy,8,7,0,1,114.29
74,SH,KKR,1,Abdul Samad,Catch,Gurbaz,Russell,4,4,0,0,100.00
74,SH,KKR,1,Cummins (c),Catch,Starc,Russell,24,19,2,1,126.32
74,SH,KKR,1,Jaydev Unadkat,lbw,-,Narine,4,11,0,0,36.36
74,SH,KKR,1,Bhuvneshwar,Not out,-,-,0,1,0,0,0.00
1,CSK,RCB,2,Ruturaj Gaikwad (c),Catch,Green,Yash Dayal,15,15,3,0,100.00
1,CSK,RCB,2,Rachin Ravindra,Catch,Rajat Patidar,Karn Sharma,37,15,3,3,246.67
1,CSK,RCB,2,Ajinkya Rahane,Catch,Maxwell,Green,27,19,0,2,142.11
1,CSK,RCB,2,Daryl Mitchell,Catch,Rajat Patidar,Green,22,18,0,2,122.22
1,CSK,RCB,2,Shivam Dube,Not out,-,-,34,28,4,1,121.43
1,CSK,RCB,2,Ravindra Jadeja,Not out,-,-,25,17,0,1,147.06
2,PK,DC,2,Shikhar Dhawan (c),Bowled,-,Ishant,22,16,4,0,137.50
2,PK,DC,2,Jonny Bairstow,Run out,Ishant,-,9,3,2,0,300.00
2,PK,DC,2,Prabhsimran Singh,Catch,Warner,Kuldeep Yadav,26,17,5,0,152.94
2,PK,DC,2,Sam Curran,Bowled,-,Khaleel Ahmed,63,47,6,1,134.04
2,PK,DC,2,Jitesh Sharma (wk),Stump,Pant,Kuldeep Yadav,9,9,1,0,100.00
2,PK,DC,2,Liam Livingstone,Not out,-,-,38,21,2,3,180.95
2,PK,DC,2,Shashank Singh,Catch,Pant,Khaleel Ahmed,0,1,0,0,0.00
2,PK,DC,2,Harpreet Brar,Not out,-,-,2,2,0,0,100.00
3,SH,KKR,2,Mayank Agarwal,Catch,Rinku Singh,Harshit Rana,32,21,4,1,152.38
3,SH,KKR,2,Abhishek Sharma,Catch,Chakaravarthy,Russell,32,19,4,2,168.42
3,SH,KKR,2,Rahul Tripathi,Catch,Harshit Rana,Narine,20,20,0,1,100.00
3,SH,KKR,2,Aiden Markram,Catch,Rinku Singh,Chakaravarthy,18,13,2,0,138.46
3,SH,KKR,2,Heinrich Klaasen (wk),Catch,Suyash Sharma,Harshit Rana,63,29,0,8,217.24
3,SH,KKR,2,Abdul Samad,Catch,Venkatesh Iyer,Russell,15,11,1,1,136.36
3,SH,KKR,2,Shahbaz Ahmed,Catch,Shreyas Iyer,Harshit Rana,16,5,1,2,320.00
3,SH,KKR,2,Marco Jansen,Not out,-,-,1,1,0,0,100.00
3,SH,KKR,2,Pat Cummins (c),Not out,-,-,0,1,0,0,0.00
4,LSG,RR,2,Quinton de Kock,Catch,Nandre Burger,Boult,4,5,1,0,80.00
4,LSG,RR,2,KL Rahul (c & wk),Catch,Dhruv Jurel,Sandeep Sharma,58,44,4,2,131.82
4,LSG,RR,2,Devdutt Padikkal,Bowled,-,Boult,0,3,0,0,0.00
4,LSG,RR,2,Ayush Badoni,Catch,Jos Buttler,Nandre Burger,1,5,0,0,20.00
