Match_id,Score,Team,Opposite_Team,Innings
22,Rachin Ravindra    c Chakaravarthy b Vaibhav Arora  15 8 3 0 187.50,Chennai Super Kings,Kolkata Knight Riders,2
22,Ruturaj Gaikwad (c)    not out  67 58 9 0 115.52,Chennai Super Kings,Kolkata Knight Riders,2
22,Daryl Mitchell    b Narine  25 19 1 1 131.58,Chennai Super Kings,Kolkata Knight Riders,2
22,Shivam Dube    b Vaibhav Arora  28 18 1 3 155.56,Chennai Super Kings,Kolkata Knight Riders,2
22,MS Dhoni (wk)    not out  1 3 0 0 33.33,Chennai Super Kings,Kolkata Knight Riders,2
23,Shikhar Dhawan (c)    st Klaasen b Bhuvneshwar  14 16 2 0 87.50,Punjab Kings,Sunrisers Hyderabad,2
23,Jonny Bairstow    b Cummins  0 3 0 0 0.00,Punjab Kings,Sunrisers Hyderabad,2
23,Prabhsimran Singh    c Nitish Reddy b Bhuvneshwar  4 6 1 0 66.67,Punjab Kings,Sunrisers Hyderabad,2
23,Sam Curran    c Cummins b T Natarajan  29 22 2 2 131.82,Punjab Kings,Sunrisers Hyderabad,2
23,Sikandar Raza    c Klaasen b Jaydev Unadkat  28 22 2 2 127.27,Punjab Kings,Sunrisers Hyderabad,2
23,Shashank Singh    not out  46 25 6 1 184.00,Punjab Kings,Sunrisers Hyderabad,2
23,Jitesh Sharma (wk)    c Abhishek Sharma b Nitish Reddy  19 11 1 1 172.73,Punjab Kings,Sunrisers Hyderabad,2
23,Ashutosh Sharma    not out  33 15 3 2 220.00,Punjab Kings,Sunrisers Hyderabad,2
24,Sai Sudharsan    lbw b Kuldeep Sen  35 29 3 1 120.69,Gujarat Titans,Rajasthan Royals,2
24,Shubman Gill (c)    st Samson b Chahal  72 44 6 2 163.64,Gujarat Titans,Rajasthan Royals,2
24,Matthew Wade (wk)    b Kuldeep Sen  4 6 0 0 66.67,Gujarat Titans,Rajasthan Royals,2
24,Abhinav Manohar    b Kuldeep Sen  1 2 0 0 50.00,Gujarat Titans,Rajasthan Royals,2
24,Vijay Shankar    b Chahal  16 10 3 0 160.00,Gujarat Titans,Rajasthan Royals,2
24,Rahul Tewatia    run out (Jos Buttler/Avesh Khan)  22 11 3 0 200.00,Gujarat Titans,Rajasthan Royals,2
24,Shahrukh Khan    lbw b Avesh Khan  14 8 1 1 175.00,Gujarat Titans,Rajasthan Royals,2
24,Rashid Khan    not out  24 11 4 0 218.18,Gujarat Titans,Rajasthan Royals,2
24,Noor Ahmad    not out  0 0 0 0 0.00,Gujarat Titans,Rajasthan Royals,2
25,Ishan Kishan (wk)    c Kohli b Akash Deep  69 34 7 5 202.94,Mumbai,Royal Challengers Bengaluru,2
25,Rohit Sharma    c R Topley b Will Jacks  38 24 3 3 158.33,Mumbai,Royal Challengers Bengaluru,2
25,Suryakumar Yadav    c Lomror b Vijaykumar Vyshak  52 19 5 4 273.68,Mumbai,Royal Challengers Bengaluru,2
25,Hardik Pandya (c)    not out  21 6 0 3 350.00,Mumbai,Royal Challengers Bengaluru,2
25,Tilak Varma    not out  16 10 3 0 160.00,Mumbai,Royal Challengers Bengaluru,2
26,Prithvi Shaw    c Pooran b Ravi Bishnoi  32 22 6 0 145.45,Delhi Capitals,Lucknow Super Giants,2
26,David Warner    b Yash Thakur  8 9 1 0 88.89,Delhi Capitals,Lucknow Super Giants,2
26,Jake Fraser-McGurk    c Arshad Khan b Naveen-ul-Haq  55 35 2 5 157.14,Delhi Capitals,Lucknow Super Giants,2
26,Rishabh Pant (c & wk)    st Rahul b Ravi Bishnoi  41 24 4 2 170.83,Delhi Capitals,Lucknow Super Giants,2
26,Tristan Stubbs    not out  15 9 0 1 166.67,Delhi Capitals,Lucknow Super Giants,2
26,Shai Hope    not out  11 10 1 0 110.00,Delhi Capitals,Lucknow Super Giants,2
27,Yashasvi Jaiswal    c Harshal Patel b Rabada  39 28 4 0 139.29,Rajasthan Royals,Punjab Kings,2
27,Tanush Kotian    b Livingstone  24 31 3 0 77.42,Rajasthan Royals,Punjab Kings,2
27,Sanju Samson (c & wk)    lbw b Rabada  18 14 1 1 128.57,Rajasthan Royals,Punjab Kings,2
27,Riyan Parag    c Rabada b Arshdeep Singh  23 18 1 1 127.78,Rajasthan Royals,Punjab Kings,2
27,Dhruv Jurel    c Shashank Singh b Harshal Patel  6 11 0 0 54.55,Rajasthan Royals,Punjab Kings,2
27,Shimron Hetmyer    not out  27 10 1 3 270.00,Rajasthan Royals,Punjab Kings,2
27,Rovman Powell    c Jitesh Sharma b Sam Curran  11 5 2 0 220.00,Rajasthan Royals,Punjab Kings,2
27,Keshav Maharaj    c Livingstone b Sam Curran  1 2 0 0 50.00,Rajasthan Royals,Punjab Kings,2
27,Trent Boult    not out  0 0 0 0 0.00,Rajasthan Royals,Punjab Kings,2
28,Philip Salt (wk)    not out  89 47 14 3 189.36,Kolkata Knight Riders,Lucknow Super Giants,2
