Match_id,Bowling,Team,Opposite_Team,Innings
11,Krunal Pandya   3 0 26 0 0 0 8.70,Lucknow Super Giants,Punjab Kings,2
11,Ravi Bishnoi   3 0 25 0 0 0 8.30,Lucknow Super Giants,Punjab Kings,2
11,Mayank Yadav   4 0 27 3 0 0 6.80,Lucknow Super Giants,Punjab Kings,2
12,Bhuvneshwar Kumar   4 0 27 0 0 1 6.80,Sunrisers Hyderabad,Gujarat Titans,2
12,Shahbaz Ahmed   2 0 20 1 0 0 10.00,Sunrisers Hyderabad,Gujarat Titans,2
12,Jaydev Unadkat   3.1 0 33 0 0 0 10.40,Sunrisers Hyderabad,Gujarat Titans,2
12,Washington Sundar   3 0 27 0 0 0 9.00,Sunrisers Hyderabad,Gujarat Titans,2
12,Mayank Markande   3 0 33 1 0 2 11.00,Sunrisers Hyderabad,Gujarat Titans,2
12,Pat Cummins (c)   4 0 28 1 0 1 7.00,Sunrisers Hyderabad,Gujarat Titans,2
13,Khaleel Ahmed   4 1 21 2 0 4 5.20,Delhi Capitals,Chennai Super Kings,2
13,Ishant Sharma   3 0 23 0 1 1 7.70,Delhi Capitals,Chennai Super Kings,2
13,Anrich Nortje   4 0 43 0 0 1 10.80,Delhi Capitals,Chennai Super Kings,2
13,Axar Patel   3 0 20 1 0 0 6.70,Delhi Capitals,Chennai Super Kings,2
13,Rasikh Dar Salam   2 0 25 0 0 0 12.50,Delhi Capitals,Chennai Super Kings,2
13,Mitchell Marsh   1 0 14 0 0 1 14.00,Delhi Capitals,Chennai Super Kings,2
13,Mukesh Kumar   3 0 21 3 0 1 7.00,Delhi Capitals,Chennai Super Kings,2
14,Kwena Maphaka   2 0 23 1 0 0 11.50,Mumbai,Rajasthan Royals,2
14,Jasprit Bumrah   4 0 26 0 0 9 6.50,Mumbai,Rajasthan Royals,2
14,Akash Madhwal   4 0 20 3 0 1 5.00,Mumbai,Rajasthan Royals,2
14,Gerald Coetzee   2.3 0 36 0 0 0 14.40,Mumbai,Rajasthan Royals,2
14,Piyush Chawla   3 0 18 0 0 0 6.00,Mumbai,Rajasthan Royals,2
15,Manimaran Siddharth   3 0 21 1 0 0 7.00,Lucknow Super Giants,Royal Challengers Bengaluru,2
15,Krunal Pandya   1 0 10 0 0 0 10.00,Lucknow Super Giants,Royal Challengers Bengaluru,2
15,Naveen-ul-Haq   3.4 0 25 2 0 1 6.80,Lucknow Super Giants,Royal Challengers Bengaluru,2
15,Mayank Yadav   4 0 14 3 0 0 3.50,Lucknow Super Giants,Royal Challengers Bengaluru,2
15,Ravi Bishnoi   3 0 33 0 0 2 11.00,Lucknow Super Giants,Royal Challengers Bengaluru,2
15,Yash Thakur   4 0 38 1 0 0 9.50,Lucknow Super Giants,Royal Challengers Bengaluru,2
15,Marcus Stoinis   1 0 9 1 0 5 9.00,Lucknow Super Giants,Royal Challengers Bengaluru,2
16,Mitchell Starc   3 0 25 2 0 0 8.30,Kolkata Knight Riders,Delhi Capitals,2
16,Vaibhav Arora   4 0 27 3 0 3 6.80,Kolkata Knight Riders,Delhi Capitals,2
16,Andre Russell   1.2 0 14 1 0 0 10.50,Kolkata Knight Riders,Delhi Capitals,2
16,Sunil Narine   4 0 29 1 0 0 7.20,Kolkata Knight Riders,Delhi Capitals,2
16,Varun Chakaravarthy   4 0 33 3 1 2 8.20,Kolkata Knight Riders,Delhi Capitals,2
16,Venkatesh Iyer   1 0 28 0 0 0 28.00,Kolkata Knight Riders,Delhi Capitals,2
17,Azmatullah Omarzai   4 0 41 1 0 1 10.20,Gujarat Titans,Punjab Kings,2
17,Umesh Yadav   3 0 35 1 0 0 11.70,Gujarat Titans,Punjab Kings,2
17,Rashid Khan   4 0 40 1 0 0 10.00,Gujarat Titans,Punjab Kings,2
17,Noor Ahmad   4 0 32 2 0 3 8.00,Gujarat Titans,Punjab Kings,2
17,Mohit Sharma   4 0 38 1 0 0 9.50,Gujarat Titans,Punjab Kings,2
17,Darshan Nalkande   0.5 0 6 1 0 1 7.20,Gujarat Titans,Punjab Kings,2
18,Deepak Chahar   3.1 0 32 1 0 0 10.10,Chennai Super Kings,Sunrisers Hyderabad,2
18,Mukesh Choudhary   1 0 27 0 1 0 27.00,Chennai Super Kings,Sunrisers Hyderabad,2
18,Maheesh Theekshana   4 0 27 1 0 0 6.80,Chennai Super Kings,Sunrisers Hyderabad,2
